time,cell_type
212,neuron_cell.tscn
212,eating_cell.tscn
212,eye_cell.tscn
212,hearing_cell.tscn
212,eating_cell.tscn
212,move_cell.tscn
212,move_cell.tscn
212,neuron_cell.tscn
212,move_cell.tscn
212,rotation_cell.tscn
212,neuron_cell.tscn
230,neuron_cell.tscn
230,eating_cell.tscn
230,eye_cell.tscn
230,hearing_cell.tscn
230,eating_cell.tscn
230,rotation_cell.tscn
230,move_cell.tscn
230,neuron_cell.tscn
230,move_cell.tscn
230,rotation_cell.tscn
230,neuron_cell.tscn
320,neuron_cell.tscn
320,eating_cell.tscn
320,eye_cell.tscn
320,hearing_cell.tscn
320,eating_cell.tscn
320,rotation_cell.tscn
320,move_cell.tscn
320,neuron_cell.tscn
320,move_cell.tscn
320,rotation_cell.tscn
320,neuron_cell.tscn
341,neuron_cell.tscn
341,eating_cell.tscn
341,eye_cell.tscn
341,hearing_cell.tscn
341,eating_cell.tscn
341,rotation_cell.tscn
341,move_cell.tscn
341,armor_cell.tscn
341,move_cell.tscn
341,rotation_cell.tscn
341,neuron_cell.tscn
232,neuron_cell.tscn
232,eating_cell.tscn
232,eye_cell.tscn
232,hearing_cell.tscn
232,eating_cell.tscn
232,move_cell.tscn
232,move_cell.tscn
232,neuron_cell.tscn
232,move_cell.tscn
232,rotation_cell.tscn
232,neuron_cell.tscn
537,neuron_cell.tscn
537,eating_cell.tscn
537,eye_cell.tscn
537,hearing_cell.tscn
537,eating_cell.tscn
537,move_cell.tscn
537,move_cell.tscn
537,neuron_cell.tscn
537,move_cell.tscn
537,rotation_cell.tscn
537,neuron_cell.tscn
611,neuron_cell.tscn
611,eating_cell.tscn
611,eye_cell.tscn
611,hearing_cell.tscn
611,eating_cell.tscn
611,move_cell.tscn
611,move_cell.tscn
611,neuron_cell.tscn
611,move_cell.tscn
611,rotation_cell.tscn
611,neuron_cell.tscn
653,neuron_cell.tscn
653,eating_cell.tscn
653,eye_cell.tscn
653,hearing_cell.tscn
653,eating_cell.tscn
653,move_cell.tscn
653,move_cell.tscn
653,neuron_cell.tscn
653,move_cell.tscn
653,rotation_cell.tscn
653,neuron_cell.tscn
136,neuron_cell.tscn
136,eating_cell.tscn
136,eye_cell.tscn
136,hearing_cell.tscn
136,eating_cell.tscn
136,move_cell.tscn
136,move_cell.tscn
136,neuron_cell.tscn
136,move_cell.tscn
136,rotation_cell.tscn
136,neuron_cell.tscn
144,neuron_cell.tscn
144,eating_cell.tscn
144,eye_cell.tscn
144,hearing_cell.tscn
144,eating_cell.tscn
144,move_cell.tscn
144,move_cell.tscn
144,neuron_cell.tscn
144,move_cell.tscn
144,rotation_cell.tscn
144,neuron_cell.tscn
168,neuron_cell.tscn
168,eating_cell.tscn
168,eye_cell.tscn
168,hearing_cell.tscn
168,eating_cell.tscn
168,move_cell.tscn
168,move_cell.tscn
168,neuron_cell.tscn
168,move_cell.tscn
168,rotation_cell.tscn
168,neuron_cell.tscn
228,neuron_cell.tscn
228,eating_cell.tscn
228,eye_cell.tscn
228,hearing_cell.tscn
228,eye_cell.tscn
228,move_cell.tscn
228,move_cell.tscn
228,neuron_cell.tscn
228,move_cell.tscn
228,rotation_cell.tscn
228,neuron_cell.tscn
244,neuron_cell.tscn
244,eating_cell.tscn
244,eye_cell.tscn
244,hearing_cell.tscn
244,eye_cell.tscn
244,move_cell.tscn
244,move_cell.tscn
244,neuron_cell.tscn
244,move_cell.tscn
244,rotation_cell.tscn
263,neuron_cell.tscn
263,eating_cell.tscn
263,eye_cell.tscn
263,hearing_cell.tscn
263,eye_cell.tscn
263,move_cell.tscn
263,move_cell.tscn
263,neuron_cell.tscn
263,move_cell.tscn
263,rotation_cell.tscn
263,neuron_cell.tscn
263,eye_cell.tscn
312,neuron_cell.tscn
312,eating_cell.tscn
312,eye_cell.tscn
312,hearing_cell.tscn
312,eye_cell.tscn
312,move_cell.tscn
312,move_cell.tscn
312,neuron_cell.tscn
312,move_cell.tscn
312,rotation_cell.tscn
312,neuron_cell.tscn
312,eye_cell.tscn
432,neuron_cell.tscn
432,eating_cell.tscn
432,eye_cell.tscn
432,hearing_cell.tscn
432,eye_cell.tscn
432,rotation_cell.tscn
432,move_cell.tscn
432,neuron_cell.tscn
432,move_cell.tscn
432,rotation_cell.tscn
432,neuron_cell.tscn
583,neuron_cell.tscn
583,eating_cell.tscn
583,eye_cell.tscn
583,eye_cell.tscn
583,move_cell.tscn
583,move_cell.tscn
583,neuron_cell.tscn
583,move_cell.tscn
583,rotation_cell.tscn
583,neuron_cell.tscn
141,neuron_cell.tscn
141,eating_cell.tscn
141,eye_cell.tscn
141,hearing_cell.tscn
141,eating_cell.tscn
141,move_cell.tscn
141,move_cell.tscn
141,neuron_cell.tscn
141,move_cell.tscn
141,rotation_cell.tscn
141,neuron_cell.tscn
139,neuron_cell.tscn
139,eating_cell.tscn
139,eye_cell.tscn
139,hearing_cell.tscn
139,eating_cell.tscn
139,move_cell.tscn
139,move_cell.tscn
139,neuron_cell.tscn
139,move_cell.tscn
139,rotation_cell.tscn
151,neuron_cell.tscn
151,eating_cell.tscn
151,eye_cell.tscn
151,hearing_cell.tscn
151,eating_cell.tscn
151,move_cell.tscn
151,move_cell.tscn
151,neuron_cell.tscn
151,move_cell.tscn
151,rotation_cell.tscn
