relatedness	DNA-match percentage
-1	0
-1	0.08433734939759
-1	0.10843373493976
-1	0.16867469879518
-1	0.09638554216867
-1	0.06024096385542
-1	0.14457831325301
-1	0.05376344086022
-1	0.06024096385542
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.05376344086022
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.08433734939759
-1	0.08433734939759
-1	0.05376344086022
-1	0.04854368932039
-1	0.04854368932039
-1	0.09638554216867
-1	0.05376344086022
-1	0.04854368932039
-1	0.04854368932039
-1	0.1566265060241
-1	0.04854368932039
-1	0.09638554216867
-1	0.12048192771084
3	1
-1	0.14457831325301
-1	0.04854368932039
-1	0.04854368932039
-1	0.04424778761062
4	1
-1	0.04854368932039
-1	0.05376344086022
4	0.98795180722892
-1	0.05376344086022
5	0.98795180722892
-1	0.04854368932039
6	0.98795180722892
-1	0.05376344086022
-1	0.04854368932039
4	1
5	1
-1	0.03883495145631
-1	0.05376344086022
-1	0.05376344086022
-1	0.05376344086022
-1	0.04854368932039
4	1
-1	0.05376344086022
5	1
5	1
-1	0.05376344086022
-1	0.04854368932039
-1	0.05376344086022
-1	0.04854368932039
5	1
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.05376344086022
5	0.98795180722892
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.06024096385542
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
-1	0.04854368932039
6	1
6	0.97590361445783
-1	0.06024096385542
5	1
-1	0.04854368932039
-1	0.05825242718447
-1	0.1566265060241
-1	0.04854368932039
-1	0.04854368932039
6	1
-1	0.06024096385542
-1	0.04854368932039
-1	0.06024096385542
5	0.98795180722892
-1	0.04424778761062
6	0.98795180722892
-1	0.04424778761062
5	0.57317073170732
6	0.58536585365854
7	0.97590361445783
7	1
-1	0.05825242718447
18	0.83870967741935
19	0.74757281553398
20	0.82795698924731
10	0.87096774193548
-1	0.04854368932039
9	0.97590361445783
17	0.1505376344086
17	0.69026548672566
-1	0.08602150537634
19	0.83870967741935
18	0.40860215053763
19	0.4578313253012
21	0.82795698924731
20	0.74757281553398
19	0.83870967741935
-1	0.10843373493976
10	0.97590361445783
-1	0.05825242718447
21	0.83870967741935
20	0.83870967741935
-1	0.16867469879518
-1	0.02912621359223
11	0.96385542168675
-1	0.04854368932039
-1	0.05309734513274
21	0.74757281553398
10	0.97590361445783
-1	0.05825242718447
17	0.83870967741935
-1	0.03225806451613
18	0.74757281553398
-1	0.05309734513274
10	0.97590361445783
20	0.83870967741935
18	0.82795698924731
-1	0.05825242718447
-1	0.04854368932039
-1	0.08602150537634
22	0.83870967741935
21	0.82795698924731
18	0.83870967741935
21	0.83870967741935
-1	0.02912621359223
11	0.96385542168675
23	0.83870967741935
19	0.83870967741935
-1	0.04854368932039
22	0.74757281553398
11	0.86021505376344
82	0.54887218045113
83	0.55639097744361
79	0.54887218045113
81	0.54887218045113
83	0.59349593495935
83	0.51048951048951
83	0.54887218045113
84	0.5034965034965
82	0.55639097744361
85	0.44171779141104
81	0.55639097744361
80	0.54887218045113
-1	0.14457831325301
82	0.54887218045113
83	0.41258741258741
83	0.21804511278195
82	0.64601769911504
82	0.54887218045113
82	0.59349593495935
84	0.51048951048951
84	0.54135338345865
83	0.47712418300654
81	0.54887218045113
83	0.64601769911504
75	0.60162601626016
81	0.59223300970874
84	0.47712418300654
83	0.54887218045113
84	0.65486725663717
84	0.47712418300654
84	0.59349593495935
85	0.4478527607362
82	0.60975609756098
83	0.54887218045113
83	0.54887218045113
78	0.59349593495935
83	0.64601769911504
84	0.58536585365854
86	0.54887218045113
83	0.57281553398058
-1	0.12048192771084
78	0.60162601626016
78	0.65486725663717
85	0.55639097744361
81	0.59349593495935
80	0.17073170731707
83	0.51748251748252
83	0.5034965034965
83	0.64601769911504
84	0.51048951048951
84	0.55639097744361
86	0.44171779141104
85	0.51048951048951
85	0.47712418300654
85	0.53097345132743
-1	0.04819277108434
79	0.54887218045113
80	0.51048951048951
83	0.64601769911504
83	0.51048951048951
77	0.54887218045113
80	0.54887218045113
85	0.51048951048951
84	0.64601769911504
85	0.65486725663717
85	0.47712418300654
86	0.55639097744361
87	0.44171779141104
-1	0.07228915662651
81	0.64601769911504
84	0.54887218045113
82	0.55639097744361
83	0.64601769911504
84	0.54887218045113
86	0.4478527607362
84	0.5034965034965
87	0.55639097744361
-1	0.09638554216867
81	0.53383458646617
81	0.64601769911504
85	0.54887218045113
84	0.44171779141104
83	0.64601769911504
77	0.54887218045113
84	0.64601769911504
86	0.55639097744361
-1	0.12048192771084
81	0.64601769911504
80	0.54887218045113
83	0.59349593495935
85	0.47712418300654
86	0.4478527607362
82	0.64601769911504
83	0.54887218045113
80	0.54887218045113
77	0.59349593495935
82	0.54887218045113
84	0.21951219512195
83	0.54887218045113
82	0.54135338345865
84	0.64601769911504
84	0.5034965034965
85	0.54887218045113
87	0.47712418300654
86	0.54887218045113
84	0.64601769911504
85	0.64601769911504
87	0.55284552845528
82	0.54887218045113
83	0.55639097744361
83	0.13592233009709
84	0.63716814159292
84	0.57281553398058
-1	0.06024096385542
83	0.55639097744361
85	0.4965034965035
82	0.53383458646617
82	0.59349593495935
87	0.55639097744361
87	0.4478527607362
86	0.44171779141104
84	0.54887218045113
87	0.41618497109827
86	0.53097345132743
88	0.55639097744361
81	0.54887218045113
87	0.51048951048951
86	0.4965034965035
82	0.55639097744361
81	0.55639097744361
78	0.60162601626016
83	0.54887218045113
84	0.44360902255639
85	0.55639097744361
78	0.54135338345865
85	0.64601769911504
87	0.4478527607362
82	0.64601769911504
85	0.44171779141104
84	0.64601769911504
84	0.58536585365854
86	0.64601769911504
84	0.55639097744361
88	0.4478527607362
75	0.60162601626016
83	0.54887218045113
85	0.4478527607362
85	0.47712418300654
79	0.65486725663717
82	0.64601769911504
86	0.54887218045113
85	0.64601769911504
87	0.4478527607362
84	0.54887218045113
83	0.51048951048951
83	0.53383458646617
87	0.53097345132743
89	0.51748251748252
80	0.54135338345865
82	0.59349593495935
77	0.54887218045113
80	0.54887218045113
84	0.52427184466019
87	0.4478527607362
84	0.54887218045113
86	0.54887218045113
87	0.54887218045113
82	0.55639097744361
84	0.33333333333333
86	0.41618497109827
85	0.54887218045113
84	0.4965034965035
75	0.64601769911504
80	0.54887218045113
83	0.56390977443609
85	0.43558282208589
85	0.64601769911504
88	0.47712418300654
87	0.44171779141104
87	0.52212389380531
79	0.60162601626016
79	0.5034965034965
86	0.59349593495935
83	0.59349593495935
84	0.54135338345865
86	0.64601769911504
83	0.55639097744361
86	0.54887218045113
-1	0.13253012048193
79	0.54887218045113
83	0.54887218045113
86	0.64601769911504
83	0.54887218045113
88	0.47712418300654
88	0.4478527607362
87	0.64601769911504
80	0.65486725663717
87	0.54887218045113
84	0.5034965034965
90	0.51748251748252
85	0.59349593495935
87	0.64601769911504
83	0.55639097744361
79	0.65486725663717
84	0.64601769911504
82	0.64601769911504
86	0.47712418300654
84	0.54887218045113
88	0.47712418300654
83	0.54887218045113
86	0.47712418300654
83	0.64601769911504
80	0.5034965034965
84	0.54887218045113
82	0.64601769911504
88	0.51048951048951
83	0.59349593495935
80	0.65486725663717
87	0.54887218045113
85	0.4965034965035
76	0.64601769911504
84	0.57142857142857
85	0.5034965034965
80	0.54887218045113
85	0.54135338345865
85	0.54887218045113
83	0.51748251748252
86	0.64601769911504
85	0.54887218045113
81	0.54135338345865
86	0.64601769911504
89	0.47712418300654
81	0.65486725663717
86	0.59349593495935
85	0.57142857142857
84	0.64601769911504
82	0.55639097744361
79	0.60162601626016
87	0.64601769911504
84	0.51048951048951
80	0.59349593495935
80	0.54887218045113
84	0.54887218045113
87	0.6504854368932
89	0.4478527607362
87	0.47712418300654
85	0.54887218045113
88	0.54887218045113
87	0.64601769911504
82	0.59349593495935
80	0.54887218045113
83	0.54887218045113
83	0.55639097744361
84	0.54887218045113
86	0.44171779141104
83	0.63716814159292
84	0.59349593495935
85	0.54135338345865
89	0.4478527607362
85	0.47058823529412
88	0.64601769911504
81	0.5034965034965
86	0.4640522875817
81	0.54887218045113
88	0.52212389380531
84	0.54135338345865
86	0.64601769911504
80	0.65486725663717
83	0.64601769911504
87	0.18881118881119
84	0.54887218045113
85	0.54887218045113
81	0.51048951048951
84	0.51748251748252
87	0.63716814159292
90	0.47712418300654
85	0.47712418300654
84	0.34146341463415
84	0.69902912621359
-1	0.12048192771084
85	0.54135338345865
88	0.4478527607362
85	0.51748251748252
84	0.44715447154472
80	0.60162601626016
89	0.44171779141104
84	0.13592233009709
89	0.51048951048951
84	0.59349593495935
82	0.54135338345865
87	0.64601769911504
87	0.59349593495935
85	0.30827067669173
89	0.54135338345865
85	0.54887218045113
86	0.54135338345865
86	0.47058823529412
81	0.65486725663717
85	0.51748251748252
88	0.47712418300654
83	0.53383458646617
85	0.55639097744361
84	0.54887218045113
88	0.44171779141104
88	0.64601769911504
86	0.54135338345865
84	0.51748251748252
88	0.64601769911504
85	0.33333333333333
86	0.51048951048951
84	0.54887218045113
85	0.54887218045113
82	0.51048951048951
89	0.52212389380531
85	0.54135338345865
88	0.18881118881119
86	0.4478527607362
85	0.54887218045113
84	0.54887218045113
89	0.47712418300654
80	0.65486725663717
87	0.59349593495935
81	0.54887218045113
86	0.47712418300654
90	0.41618497109827
88	0.59349593495935
85	0.54887218045113
86	0.54887218045113
81	0.51048951048951
89	0.4478527607362
